animal  	animal	domestic animal	domestic animal	leather
animal  	animal	animal	animal	animal
chorizo	animal	domestic animal	domestic animal	meat
farm	animal	domestic animal	domestic animal	farm
fish	animal	animal	animal	animal
grilled sausage	animal	domestic animal	domestic animal	sausage
horse  	animal	domestic animal	domestic animal	horse
leather  	animal	domestic animal	domestic animal	leather
meat juices 	animal	domestic animal	domestic animal	meat
meaty  	animal	domestic animal	domestic animal	meat
meaty sauce	animal	domestic animal	domestic animal	meat juice
sausage  	animal	domestic animal	domestic animal	sausage
stable  	animal	animal	animal	farm
sweat  	animal	domestic animal	domestic animal	sweat
wet dog 	animal	domestic animal	domestic animal	wet dog
aromatic herbs 	aromatic herbs	aromatic herbs	aromatic herbs	aromatic herbs
fresh laurel	aromatic herbs	aromatic herbs	aromatic herbs	laurel
herbs	aromatic herbs	aromatic herbs	aromatic herbs	aromatic herbs
laurel  	aromatic herbs	aromatic herbs	aromatic herbs	laurel
rosemary  	aromatic herbs	aromatic herbs	aromatic herbs	rosemary
mint  	aromatics herbs	aromatics herbs	aromatics herbs	mint
thyme  	aromatics herbs	aromatics herbs	aromatics herbs	thyme
acetate  	chemical	industrial chemical	industrial chemical	industrial chemical
acetic  	chemical	oxidized	oxidized	vinegar
acetic acid	chemical	oxidized	oxidized	vinegar
acetone	chemical	industrial chemical	industrial chemical	solvent
alcohol  	chemical	industrial chemical	industrial chemical	alcohol
ammoniac	chemical	industrial chemical	industrial chemical	ammoniac
ascessence	chemical	oxidized	oxidized	vinegar
camphor  	chemical	industrial chemical	industrial chemical	camphor
caoutchou  	chemical	industrial chemical	industrial chemical	plastic
carbon	chemical	industrial chemical	industrial chemical	hydrocarbon
chemical	chemical	chemical	chemical	chemical
cooked cabbage 	chemical	oxidized	oxidized	cooked cabbage
cosmetics  	chemical	chemical	chemical	chemical
detergent	chemical	industrial chemical	industrial chemical	solvent
ethanol  	chemical	industrial chemical	industrial chemical	solvent
ethyl acetate 	chemical	industrial chemical	industrial chemical	solvent
ethyl phenol	chemical	pharmaceutical chemical	pharmaceutical chemical	phenols
gas  	chemical	chemical	chemical	chemical
gouache	chemical	industrial chemical	industrial chemical	solvent
kirch cherry	chemical	industrial chemical	industrial chemical	alcohol
kirsch cherry 	chemical	industrial chemical	industrial chemical	alcohol
mercaptan  	chemical	oxidized	oxidized	rotten egg
metal  	chemical	industrial chemical	industrial chemical	industrial chemical
olive oil 	chemical	industrial chemical	industrial chemical	hydrocarbon
oxidized  	chemical	oxidized	oxidized	oxidized
pharmaceutical	chemical	pharmaceutical chemical	pharmaceutical chemical	pharmaceutical chemical
phenol  	chemical	pharmaceutical chemical	pharmaceutical chemical	phenols
potato  	chemical	oxidized	oxidized	potato
pyrazine  	chemical	industrial chemical	industrial chemical	
reduced  	chemical	oxidized	oxidized	reduced
reduction  	chemical	oxidized	oxidized	reduced
rubber  	chemical	industrial chemical	industrial chemical	rubber
rum  	chemical	industrial chemical	industrial chemical	alcohol
solvent  	chemical	industrial chemical	industrial chemical	solvent
sulfur  	chemical	industrial chemical	industrial chemical	sulfur
varnish	chemical	industrial chemical	industrial chemical	varnish
vinegar	chemical	oxidized	oxidized	vinegar
water  	chemical	chemical	chemical	chemical
burned milk 	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
burned pepper 	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
burnt  	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
burnt caramel	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
burnt wood 	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
caramel  	empyreumatic	cocoa or caramel	cocoa or caramel	caramel
caramelised apple	empyreumatic	cocoa or caramel	cocoa or caramel	caramel
chocolate  	empyreumatic	cocoa or caramel	cocoa or caramel	black chocolate
chocolate milk	empyreumatic	cocoa or caramel	cocoa or caramel	milk chocolate
cigar  	empyreumatic	smoke or tobacco	smoke or tobacco	cigar box
cocoa  	empyreumatic	cocoa or caramel	cocoa or caramel	cocoa
coffee  	empyreumatic	cocoa or caramel	cocoa or caramel	coffee
empyreumatic 	empyreumatic	empyreumatic	empyreumatic	empyreumatic
grilled  	empyreumatic	cocoa or caramel	cocoa or caramel	roasted
mocha  	empyreumatic	cocoa or caramel	cocoa or caramel	mocha
roasted  	empyreumatic	cocoa or caramel	cocoa or caramel	roasted
smoked  	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
smoked vegetal 	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
soot  	empyreumatic	smoke or tobacco	smoke or tobacco	smoke
tar  	empyreumatic	smoke or tobacco	smoke or tobacco	tar
toasted  	empyreumatic	cocoa or caramel	cocoa or caramel	toast
tobacco  	empyreumatic	smoke or tobacco	smoke or tobacco	tobacco
actic	fermented	fermented	fermented	lactic acid
ascecent  	fermented	fermented	fermented	fermented
cheese  	fermented	fermented	fermented	
lactic  	fermented	fermented	fermented	lactic acid
lactic acid 	fermented	fermented	fermented	lactic acid
milk  	fermented	fermented	fermented	milk
yoghurt	fermented	fermented	fermented	fermented
fermentation  	fermented 	fermented	fermented	fermented
blue flowers 	floral	garden flower	blue flowers	blue flowers
daisy	floral	garden flower	garden flower	daisy
fern  	floral	floral	floral	floral
floral  	floral	floral	floral	floral
flower  	floral	floral	floral	floral
gentian  	floral	floral	floral	floral
geranium	floral	garden flower	garden flower	garden flower
green fern 	floral	floral	floral	floral
honey	floral	honey	honey	honey
iris 	floral	garden flower	garden flower	iris
ivy  	floral	garden flower	garden flower	garden flower
jasmine  	floral	shrub flower	shrub flower	jasmine
lavender  	floral	shrub flower	shrub flower	lavender
lilac  	floral	shrub flower	shrub flower	lilac
old wax 	floral	honey	honey	waxes
peony  	floral	garden flower	garden flower	peony
pink  	floral	shrub flower	shrub flower	rose
polenta	floral			
rose  	floral	shrub flower	shrub flower	rose
violet 	floral	garden flower	garden flower	violet
wax	floral	honey	honey	waxes
white flowers 	floral	garden flower	garden flower	white flowers
almond  	fruits	inshell dry fruits	inshell dry fruits	dried almond
amylic  	fruits	amylic	amylic	amylic
apple  	fruits	fresh fruits	fresh fruits	apple
apricot  	fruits	fresh fruits	fresh fruits	apricot
banana  	fruits	amylic	amylic	banana
bergamot	fruits	citrus fruits	citrus fruits	bergamot
black currant 	fruits	black fruits	fresh black fruits	black currant
black currant candy	fruits	black fruits		
black currant liqueur	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
black fruit yoghurt	fruits	black fruits	ripe or cooked black fruits	compote
black fruits 	fruits	black fruits	black fruits	black fruits
blackberry	fruits	black fruits	fresh black fruits	blackberries
blackberry paste	fruits	black fruits	ripe or cooked black fruits	compote
blackcurrant buds 	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
blackcurrant jam	fruits	black fruits	ripe or cookes black fruits	jam
blackcurrant paste 	fruits	black fruits	ripe or cooked black fruits	compote
blackcurrant syrup 	fruits	black fruits	ripe or cooked black fruits	ripe or cooked black fruits
blueberry  	fruits	black fruits	fresh black fruits	blueberries
brandy  	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
candied citrus 	fruits	citrus fruits	citrus fruits	citrus fruits
candied fruit 	fruits	ripe or cooked fruits	ripe or cooked fruits	ripe or cooked fruits
candy cherry 	fruits	red fruits	ripe or cooked red fruits	
candy raspberry	fruits	red fruits	ripe or cooked red fruits	compote
